respondent_id,submitted_at,consent,region,residence_zone,age_group,gender,race_color,income_group,education,consumption_frequency,consumer_profile,consumer_profile_raw,wine_types_raw,purchase_channels_raw,purchase_factors_raw,sustainable_attributes_raw,label_importance,monthly_consumption_estimate,consumption_intensity,label_importance_score,high_label_importance,consumer_knowledge_score,strategic_segment
132,2026-05-13 12:51:46.329,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 1 a 2 salários mínimos,Pós-graduação incompleta,1 vez por semana,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas online especializadas, Restaurantes e bares","Região de origem, Variedade, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo)",Extremamente importante,4.3,Alta frequência,4,1,1,Alta prioridade
133,2026-05-13 13:41:13.097,"Sim, aceito participar",Região Sul,Zona rural,Acima de 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho tinto seco,"Supermercados, Lojas físicas especializadas","Região de origem, Vinícola / Produtor","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência)",Muito importante,4.3,Alta frequência,3,1,2,Alta prioridade
134,2026-05-13 13:46:34.063,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 18 e 25 anos,Feminino,Branca,Menos de 1 salário mínimo,Pós-graduação incompleta,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho suave","Supermercados, Restaurantes e bares","Preço, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Presença de certificações ou selos ambientais, Preço",Extremamente importante,1.0,Frequência moderada,4,1,1,Potencial sustentável
135,2026-05-13 13:52:25.073,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho espumante, Vinho suave",Lojas físicas especializadas,"Preço, Variedade","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Pouco importante,0.5,Baixa frequência,1,0,2,Baixa prioridade
136,2026-05-13 13:57:14.628,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho espumante","Supermercados, Lojas online especializadas","Preço, Variedade, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Preço",Muito importante,10.8,Alta frequência,3,1,2,Alta prioridade
137,2026-05-13 14:07:37.239,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Masculino,Branca,Menos de 1 salário mínimo,Ensino superior incompleto,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho rosé, Vinho espumante, Vinho suave","Supermercados, Diretamente em vinícolas, Restaurantes e bares","Preço, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,1.0,Frequência moderada,4,1,1,Potencial sustentável
138,2026-05-13 14:13:09.687,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Vinho tinto seco,Supermercados,Variedade,"Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo",Extremamente importante,0.5,Baixa frequência,4,1,1,Potencial sustentável
139,2026-05-13 14:14:39.634,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Parda,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho demi-sec","Lojas online especializadas, Diretamente em vinícolas","Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Grau de inovação do produto",Extremamente importante,2.0,Frequência moderada,4,1,2,Potencial sustentável
140,2026-05-13 14:18:12.128,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Supermercados, Lojas online especializadas, Restaurantes e bares","Preço, Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
141,2026-05-13 14:37:13.355,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho espumante","Supermercados, Lojas online especializadas","Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante,2.0,Frequência moderada,3,1,2,Potencial sustentável
142,2026-05-13 14:37:34.473,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho branco seco, Vinho rosé","Supermercados, Lojas online especializadas","Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Práticas sustentáveis e/ou impacto ambiental","Qualidade sensorial (sabor, aroma, equilíbrio), Presença de certificações ou selos ambientais",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
143,2026-05-13 14:41:19.175,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Parda,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho tinto seco,"Lojas físicas especializadas, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Grau de inovação do produto",Extremamente importante,2.0,Frequência moderada,4,1,2,Potencial sustentável
144,2026-05-13 14:48:58.402,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Masculino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho demi-sec","Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Preço",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
145,2026-05-13 15:18:54.501,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho tinto seco,Supermercados,"Preço, Região de origem, Variedade, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Muito importante,4.3,Alta frequência,3,1,2,Alta prioridade
146,2026-05-13 15:23:31.679,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Amarela,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco","Supermercados, Restaurantes e bares","Preço, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante,10.8,Alta frequência,4,1,1,Alta prioridade
147,2026-05-13 15:24:25.030,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por mês,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho branco seco,Lojas físicas especializadas,"Preço, Região de origem, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,1.0,Frequência moderada,4,1,2,Potencial sustentável
148,2026-05-13 15:33:11.722,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho rosé, Vinho espumante, Vinho suave",Supermercados,"Preço, Região de origem, Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Preço",Extremamente importante,1.0,Frequência moderada,4,1,1,Potencial sustentável
149,2026-05-13 15:40:37.236,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Branca,Menos de 1 salário mínimo,Ensino superior completo,De 4 a 6 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Lojas físicas especializadas, Diretamente em vinícolas","Preço, Região de origem, Vinícola / Produtor, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante,21.5,Alta frequência,3,1,3,Alta prioridade
150,2026-05-13 15:47:49.959,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Supermercados, Lojas não especializadas no Paraguai, como Shopping China e Mapy, onde consigo comprar rótulos melhores com menor valor, e também com maior variedade.","Preço, Região de origem, Variedade, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Presença de certificações ou selos ambientais",Moderadamente importante,4.3,Alta frequência,2,0,2,Consumidor frequente tradicional
151,2026-05-13 16:05:31.792,"Sim, aceito participar",Região Sudeste,Zona rural,Acima de 55 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho espumante, Vinho demi-sec",Supermercados,"Região de origem, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Presença de certificações ou selos ambientais, Preço",Muito importante,1.0,Frequência moderada,3,1,1,Potencial sustentável
152,2026-05-13 16:15:43.732,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante",Supermercados,"Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Muito importante,2.0,Frequência moderada,3,1,1,Potencial sustentável
153,2026-05-13 16:25:50.192,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho licoroso e/ou fortificado","Supermercados, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante,10.8,Alta frequência,3,1,3,Alta prioridade
154,2026-05-13 16:38:40.901,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho rosé, Vinho espumante","Supermercados, Diretamente em vinícolas, Restaurantes e bares","Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
155,2026-05-13 17:17:05.638,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior incompleto,Diariamente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho branco seco, Vinho suave","Supermercados, Restaurantes e bares","Preço, Região de origem, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Preço",Muito importante,30.4,Alta frequência,3,1,2,Alta prioridade
156,2026-05-13 17:17:25.684,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior incompleto,Diariamente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho branco seco, Vinho suave","Supermercados, Restaurantes e bares","Preço, Região de origem, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Preço",Muito importante,30.4,Alta frequência,3,1,2,Alta prioridade
157,2026-05-13 18:04:39.668,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas físicas especializadas","Região de origem, Variedade, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Presença de certificações ou selos ambientais, Preço",Muito importante,2.0,Frequência moderada,3,1,1,Potencial sustentável
158,2026-05-13 20:27:02.667,"Sim, aceito participar",Região Nordeste,Zona urbana,Entre 36 e 45 anos,Feminino,Parda,Menos de 1 salário mínimo,Pós-graduação incompleta,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho suave",Supermercados,"Região de origem, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência)",Muito importante,0.5,Baixa frequência,3,1,1,Potencial sustentável
159,2026-05-13 20:27:42.190,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior completo,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Diretamente em vinícolas","Preço, Região de origem, Variedade, Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo",Muito importante,2.0,Frequência moderada,3,1,2,Potencial sustentável
160,2026-05-13 21:31:07.533,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Vinho suave,Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações)","Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante,0.5,Baixa frequência,4,1,1,Potencial sustentável
161,2026-05-13 21:33:13.909,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação incompleta,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé","Supermercados, Lojas físicas especializadas","Preço, Variedade, Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo",Muito importante,10.8,Alta frequência,3,1,2,Alta prioridade
162,2026-05-14 08:45:56.803,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho espumante",Supermercados,"Preço, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante,0.5,Baixa frequência,3,1,1,Potencial sustentável
163,2026-05-14 11:14:50.122,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho espumante, Vinho suave","Supermercados, Diretamente em vinícolas","Vinícola / Produtor, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,0.5,Baixa frequência,4,1,2,Potencial sustentável
164,2026-05-14 12:16:25.368,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Ensino superior completo,De 2 a 3 vezes por semana,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho espumante","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Vinícola / Produtor","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência)",Moderadamente importante,10.8,Alta frequência,2,0,4,Consumidor frequente tradicional
165,2026-05-14 14:16:58.808,"Sim, aceito participar",Região Sul,Zona rural,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Diariamente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas online especializadas","Preço, Variedade, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Extremamente importante,30.4,Alta frequência,4,1,2,Alta prioridade
166,2026-05-14 14:18:16.235,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Prefiro não responder,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Preço, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Preço",Extremamente importante,4.3,Alta frequência,4,1,3,Alta prioridade
167,2026-05-14 14:18:53.275,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Não tenho preferência definida,"Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Extremamente importante,4.3,Alta frequência,4,1,3,Alta prioridade
168,2026-05-14 14:21:15.507,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Diariamente,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho licoroso e/ou fortificado","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Preço, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Muito importante,30.4,Alta frequência,3,1,4,Alta prioridade
169,2026-05-14 14:22:32.666,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas físicas especializadas, Lojas online especializadas","Preço, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Muito importante,4.3,Alta frequência,3,1,3,Alta prioridade
170,2026-05-14 14:24:56.386,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Supermercados, Lojas físicas especializadas","Preço, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais",Muito importante,1.0,Frequência moderada,3,1,1,Potencial sustentável
171,2026-05-14 14:29:49.233,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Diariamente,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho licoroso e/ou fortificado","Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais, Preço, Grau de inovação do produto",Muito importante,30.4,Alta frequência,3,1,4,Alta prioridade
172,2026-05-14 14:30:54.462,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação incompleta,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho espumante","Lojas físicas especializadas, Lojas online especializadas","Preço, Variedade, Recomendação (amigos, especialistas, avaliações), Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Extremamente importante,10.8,Alta frequência,4,1,2,Alta prioridade
173,2026-05-14 14:35:28.468,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Parda,Acima de 6 salários mínimos,Ensino superior completo,De 4 a 6 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Vinho tinto seco,Supermercados,"Preço, Região de origem, Variedade, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais, Preço",Moderadamente importante,21.5,Alta frequência,2,0,3,Consumidor frequente tradicional
174,2026-05-14 14:41:52.475,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,De 5 a 6 salários mínimos,Ensino superior completo,Raramente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho espumante, Vinho demi-sec","Supermercados, Lojas online especializadas, Restaurantes e bares, Aplicativos de delivery de bebidas","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos, Estação do ano e harmonização","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Moderadamente importante,0.5,Baixa frequência,2,0,2,Baixa prioridade
